gesture,timestamp,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19
open,2025-02-16 21:28:51,96.0,97.0,304.0,95.0,193.0,105.0,277.0,137.0,85.0,195.0,72.0,167.0,80.0,173.0,81.0,168.0,86.0,137.0,78.0,126.0
open,2025-02-16 21:28:51,102.0,135.0,173.0,107.0,177.0,61.0,119.0,88.0,81.0,90.0,73.0,90.0,86.0,78.0,80.0,85.0,100.0,89.0,104.0,87.0
open,2025-02-16 21:28:51,90.0,78.0,102.0,85.0,136.0,84.0,164.0,79.0,187.0,84.0,194.0,88.0,168.0,99.0,170.0,71.0,122.0,83.0,129.0,131.0
open,2025-02-16 21:28:51,102.0,173.0,86.0,183.0,86.0,105.0,87.0,86.0,84.0,77.0,87.0,91.0,94.0,80.0,89.0,94.0,73.0,102.0,80.0,95.0
open,2025-02-16 21:28:51,91.0,105.0,83.0,112.0,78.0,160.0,83.0,165.0,6.0,147.0,61.0,78.0,86.0,72.0,38.0,67.0,46.0,49.0,23.0,51.0
open,2025-02-16 21:28:51,25.0,99.0,640.0,579.0,760.0,605.0,264.0,281.0,257.0,392.0,281.0,319.0,168.0,149.0,43.0,152.0,166.0,147.0,61.0,78.0
open,2025-02-16 21:28:51,86.0,72.0,38.0,67.0,46.0,49.0,23.0,51.0,25.0,99.0,640.0,579.0,760.0,605.0,264.0,281.0,257.0,392.0,281.0,319.0
open,2025-02-16 21:28:51,168.0,149.0,43.0,152.0,166.0,147.0,61.0,78.0,86.0,72.0,38.0,67.0,46.0,49.0,23.0,51.0,25.0,99.0,400.0,193.0
open,2025-02-16 21:28:51,91.0,202.0,113.0,177.0,111.0,206.0,129.0,217.0,212.0,173.0,230.0,148.0,201.0,153.0,241.0,156.0,186.0,137.0,273.0,128.0
open,2025-02-16 21:28:51,222.0,106.0,146.0,107.0,125.0,103.0,98.0,97.0,131.0,106.0,256.0,158.0,292.0,116.0,334.0,146.0,384.0,124.0,433.0,133.0
open,2025-02-16 21:28:51,548.0,247.0,567.0,427.0,219.0,505.0,149.0,523.0,129.0,415.0,99.0,248.0,80.0,215.0,125.0,107.0,111.0,112.0,141.0,141.0
open,2025-02-16 21:28:51,146.0,176.0,156.0,225.0,157.0,280.0,186.0,493.0,213.0,559.0,178.0,615.0,211.0,521.0,174.0,389.0,266.0,323.0,375.0,224.0
